epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,235.99237060546875,,
0,5,,,,,,136109.703125,235.846923828125
0,5,,,676052.125,506.2149658203125,,,
1,9,,,,,254.11404418945312,,
1,11,,,,,,151416.4375,253.73471069335938
1,11,,,166266.75,266.7899475097656,,,
2,14,,,,,271.66845703125,,
2,17,,,,,,129417.6328125,240.74594116210938
2,17,,,153006.234375,264.42950439453125,,,
3,19,,,,,217.5260009765625,,
3,23,,,,,,131037.546875,243.56942749023438
3,23,,,142957.09375,254.0629425048828,,,
4,24,,,,,275.67291259765625,,
4,29,,,,,270.1549987792969,,
4,29,,,,,,125836.078125,256.0268859863281
4,29,,,148656.828125,251.93972778320312,,,
5,34,,,,,243.7959442138672,,
5,35,,,,,,129495.84375,249.19247436523438
5,35,,,150339.25,261.6156921386719,,,
6,39,,,,,265.82891845703125,,
6,41,,,,,,134244.078125,250.53929138183594
6,41,,,185254.9375,277.1424865722656,,,
7,44,,,,,279.2586669921875,,
7,47,,,,,,160947.484375,268.1108093261719
7,47,,,156860.53125,257.7961730957031,,,
8,49,,,,,188.57984924316406,,
8,53,,,,,,121840.3203125,245.29530334472656
8,53,,,158746.953125,267.74346923828125,,,
9,54,,,,,261.3707580566406,,
9,59,,,,,347.11920166015625,,
9,59,,,,,,130999.2265625,260.6942138671875
9,59,,,142285.453125,238.48828125,,,
10,64,,,,,387.160888671875,,
10,65,,,,,,124181.6171875,247.16517639160156
10,65,,,145949.578125,256.3642272949219,,,
11,69,,,,,219.75149536132812,,
11,71,,,,,,129200.7265625,246.88783264160156
11,71,,,160695.78125,261.66986083984375,,,
12,74,,,,,257.380859375,,
12,77,,,,,,122982.0078125,253.63906860351562
12,77,,,147333.84375,247.2458038330078,,,
13,79,,,,,263.621826171875,,
13,83,,,,,,125476.4921875,247.00392150878906
13,83,,,144998.109375,248.46873474121094,,,
14,84,,,,,283.8265380859375,,
14,89,,,,,155.3186492919922,,
14,89,,,,,,125203.8046875,249.1640167236328
14,89,,,137737.46875,258.212890625,,,
15,94,,,,,272.28399658203125,,
15,95,,,,,,124620.375,258.3045959472656
15,95,,,134727.046875,249.74720764160156,,,
16,99,,,,,239.09005737304688,,
16,101,,,,,,124007.8828125,257.41375732421875
16,101,,,130583.2890625,231.55294799804688,,,
17,104,,,,,299.92584228515625,,
17,107,,,,,,127025.3828125,246.92054748535156
17,107,,,134196.453125,253.50164794921875,,,
18,109,,,,,243.97769165039062,,
18,113,,,,,,125742.5234375,245.80352783203125
18,113,,,130695.4765625,242.10658264160156,,,
19,114,,,,,264.4248046875,,
19,119,,,,,267.4922180175781,,
19,119,,,,,,117964.59375,247.5388641357422
19,119,,,134322.59375,238.7607879638672,,,
20,124,,,,,218.72238159179688,,
20,125,,,,,,115092.1328125,238.26089477539062
20,125,,,123719.1875,233.14724731445312,,,
21,129,,,,,228.10568237304688,,
21,131,,,,,,119177.0,250.3134765625
21,131,,,109347.609375,232.71051025390625,,,
22,134,,,,,277.7004699707031,,
22,137,,,,,,126709.3203125,246.11473083496094
22,137,,,137105.78125,252.57273864746094,,,
23,139,,,,,241.80960083007812,,
